ID,pr_ID,approverName,approvalTier,status,modifiedAt
82a6cfc1-5f8f-46f1-9bdd-0ec6644f5a45,ea1c818c-3a55-4a41-89fc-353417672871,Aditya,1,pending,2026-06-13T06:28:05Z
ca415e7c-a164-4e11-bbdd-42719da54905,98eebd7e-f8d2-4957-b69a-a150ecfb7f6e,Sarah,1,pending,2026-07-12T03:58:32Z
a361f1c8-be05-423e-a557-4c0691f366ee,8a0432af-2d57-4aa4-86ec-afdd7938e2e7,Nikhil,2,pending,2026-07-01T07:47:46Z
9b37bbc7-3525-4a52-81e8-b439a25789e7,eaa816bc-73c7-480f-ac4a-e3f4ec42e4ac,Priya,1,pending,2026-07-03T21:04:22Z
ab19df29-756c-4996-9ea6-22c65c68bff5,6bacd383-c892-44bd-827d-2193e6a41f77,Karan,1,pending,2026-06-07T14:54:35Z
ce9531fb-912e-4fad-a973-72ddca581e07,4f91a29d-6143-4af6-8d6c-04fe4644fab4,Amit,1,pending,2026-07-16T23:05:41Z
c556ec2f-ac0a-4b74-8e8f-1e46256cd381,7a579e33-1920-467a-8f00-dc44fcdbb789,Amit,1,pending,2026-07-12T21:20:45Z
037113aa-da2c-4cec-b5bf-2535666b7581,6594c9a9-54e8-4f82-9127-a4722a5d64d5,Karan,1,pending,2026-07-10T03:54:27Z
11cd8158-9eb9-456e-9732-41af95f3fe07,9dec4efd-4918-4304-ba9f-d02ae9ca90c4,John,2,pending,2026-06-28T01:36:21Z
33a12ede-1e08-4434-9f33-43496be30f44,4d1be067-317c-4780-9169-fe745b7abdd6,Arjun,1,approved,2026-06-10T13:33:11Z
4c8692f1-6ce5-4590-89f7-6f5c0637e369,f11c4e8e-e862-432f-8a08-c795549a90ef,Daksh,1,approved,2026-06-23T23:41:45Z
a04b8485-db89-48b2-9315-b3416fe2f99e,4dc469b3-44b0-4181-800e-c5864f5da93e,Sarah,1,pending,2026-07-08T23:44:45Z
38e57244-dc1e-4aae-b7e3-9a53e454767e,c2b1da0f-b61b-436c-bc2d-dac006c65ce8,Neha,1,pending,2026-07-18T06:26:53Z
22a6f198-111d-49b0-8ab6-2640e0995b5c,3ec8f6e0-ec64-41f8-ba19-44c1ec0b9081,Krishnav,1,approved,2026-06-06T14:27:47Z
1a4f87a0-3781-414d-81ca-d3dc5dbf027f,0f3114f3-79c7-45eb-a8d0-fa0ca8efc19d,Sanjay,1,pending,2026-06-19T02:17:16Z
ee7f3ec9-17f0-4fe1-a373-facb13993597,47976328-feac-4787-878e-9f8efe6648d4,Priya,1,pending,2026-06-24T23:03:29Z
c30e0f17-b65d-418f-84c0-802258548250,35ba073a-c0e1-4de6-8279-8fcfb78c3443,Anjali,1,pending,2026-07-01T12:40:30Z
c5bdbf9b-398e-4c98-85c5-5c986cdc5688,b7e61ba5-d3ee-4506-ab1e-3ad329cf06b2,Anjali,1,approved,2026-06-08T02:01:54Z
001bdea2-746f-4b01-8d2d-f91aaa3547b3,4c207fe9-f2ef-4e7e-b5c8-6db8a0b81c0d,Ms Priyanka,1,pending,2026-06-21T16:59:06Z
29428bd2-ecae-4a80-a5bd-dc4010dd8246,5a75b5ed-789d-46e5-a240-247453654764,Neha,1,pending,2026-06-30T10:21:49Z
6c037f55-17bf-46f6-86b6-4347b8ec7b9d,18da8919-6af5-42d5-9f11-04ad59957c4b,Rohan,1,pending,2026-06-11T10:00:00Z
2bff5610-3224-4482-b2cb-f9a1895a6e16,71bc6789-8d45-44a2-8d0c-8b2d6430289b,Karan,2,approved,2026-07-20T02:15:15Z
